Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Hotels,Chrome 115.0.0.0,,,2023-08-03 22:21:49,2023-08-03 22:23:37,1m - 47.844s,PASSED
,,,,,,,
Test Cases/Data Driven Testing/Find a place,Chrome 115.0.0.0,,,2023-08-03 22:21:49,2023-08-03 22:22:32,42.453s,PASSED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-08-03 22:21:50,2023-08-03 22:21:52,1.952s,PASSED
"navigateToUrl(""https://www.airbnb.com/"")",Chrome 115.0.0.0,,,2023-08-03 22:21:52,2023-08-03 22:22:13,21.374s,PASSED
"click(findTestObject(""Object Repository/airbnb/Page_Vacation Homes  Condo Rentals - Airbnb_f5c50c/div_Anywhere""))",Chrome 115.0.0.0,,,2023-08-03 22:22:13,2023-08-03 22:22:16,3.524s,PASSED
"setText(findTestObject(""Object Repository/airbnb/Page_Vacation Homes  Condo Rentals - Airbnb_f5c50c/input_Where_query""), city)",Chrome 115.0.0.0,,,2023-08-03 22:22:16,2023-08-03 22:22:20,3.150s,PASSED
"click(findTestObject(""Object Repository/airbnb/Page_Vacation Homes  Condo Rentals - Airbnb_f5c50c/div_Check in""))",Chrome 115.0.0.0,,,2023-08-03 22:22:20,2023-08-03 22:22:25,4.935s,PASSED
"click(findTestObject(""Object Repository/airbnb/Page_Vacation Homes  Condo Rentals - Airbnb_f5c50c/div_3 days""))",Chrome 115.0.0.0,,,2023-08-03 22:22:25,2023-08-03 22:22:27,2.343s,PASSED
"click(findTestObject(""Object Repository/airbnb/Page_Vacation Homes  Condo Rentals - Airbnb_f5c50c/label_3 days""))",Chrome 115.0.0.0,,,2023-08-03 22:22:27,2023-08-03 22:22:29,1.839s,PASSED
"click(findTestObject(""Object Repository/airbnb/Page_Vacation Homes  Condo Rentals - Airbnb_f5c50c/span_Add guests_t1dqvypu dir dir-ltr""))",Chrome 115.0.0.0,,,2023-08-03 22:22:29,2023-08-03 22:22:31,2.278s,PASSED
closeBrowser(),Chrome 115.0.0.0,,,2023-08-03 22:22:31,2023-08-03 22:22:32,0.867s,PASSED
,,,,,,,
Test Cases/Data Driven Testing/Find a place,Chrome 115.0.0.0,,,2023-08-03 22:22:32,2023-08-03 22:23:00,28.516s,PASSED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-08-03 22:22:32,2023-08-03 22:22:33,1.096s,PASSED
"navigateToUrl(""https://www.airbnb.com/"")",Chrome 115.0.0.0,,,2023-08-03 22:22:33,2023-08-03 22:22:44,10.854s,PASSED
"click(findTestObject(""Object Repository/airbnb/Page_Vacation Homes  Condo Rentals - Airbnb_f5c50c/div_Anywhere""))",Chrome 115.0.0.0,,,2023-08-03 22:22:44,2023-08-03 22:22:47,2.918s,PASSED
"setText(findTestObject(""Object Repository/airbnb/Page_Vacation Homes  Condo Rentals - Airbnb_f5c50c/input_Where_query""), city)",Chrome 115.0.0.0,,,2023-08-03 22:22:47,2023-08-03 22:22:50,3.036s,PASSED
"click(findTestObject(""Object Repository/airbnb/Page_Vacation Homes  Condo Rentals - Airbnb_f5c50c/div_Check in""))",Chrome 115.0.0.0,,,2023-08-03 22:22:50,2023-08-03 22:22:54,3.920s,PASSED
"click(findTestObject(""Object Repository/airbnb/Page_Vacation Homes  Condo Rentals - Airbnb_f5c50c/div_3 days""))",Chrome 115.0.0.0,,,2023-08-03 22:22:54,2023-08-03 22:22:56,1.807s,PASSED
"click(findTestObject(""Object Repository/airbnb/Page_Vacation Homes  Condo Rentals - Airbnb_f5c50c/label_3 days""))",Chrome 115.0.0.0,,,2023-08-03 22:22:56,2023-08-03 22:22:58,2.173s,PASSED
"click(findTestObject(""Object Repository/airbnb/Page_Vacation Homes  Condo Rentals - Airbnb_f5c50c/span_Add guests_t1dqvypu dir dir-ltr""))",Chrome 115.0.0.0,,,2023-08-03 22:22:58,2023-08-03 22:23:00,1.823s,PASSED
closeBrowser(),Chrome 115.0.0.0,,,2023-08-03 22:23:00,2023-08-03 22:23:00,0.881s,PASSED
,,,,,,,
Test Cases/Data Driven Testing/Find a place,Chrome 115.0.0.0,,,2023-08-03 22:23:00,2023-08-03 22:23:37,36.670s,PASSED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-08-03 22:23:00,2023-08-03 22:23:02,1.212s,PASSED
"navigateToUrl(""https://www.airbnb.com/"")",Chrome 115.0.0.0,,,2023-08-03 22:23:02,2023-08-03 22:23:20,18.467s,PASSED
"click(findTestObject(""Object Repository/airbnb/Page_Vacation Homes  Condo Rentals - Airbnb_f5c50c/div_Anywhere""))",Chrome 115.0.0.0,,,2023-08-03 22:23:20,2023-08-03 22:23:25,4.754s,PASSED
"setText(findTestObject(""Object Repository/airbnb/Page_Vacation Homes  Condo Rentals - Airbnb_f5c50c/input_Where_query""), city)",Chrome 115.0.0.0,,,2023-08-03 22:23:25,2023-08-03 22:23:28,3.153s,PASSED
"click(findTestObject(""Object Repository/airbnb/Page_Vacation Homes  Condo Rentals - Airbnb_f5c50c/div_Check in""))",Chrome 115.0.0.0,,,2023-08-03 22:23:28,2023-08-03 22:23:31,2.523s,PASSED
"click(findTestObject(""Object Repository/airbnb/Page_Vacation Homes  Condo Rentals - Airbnb_f5c50c/div_3 days""))",Chrome 115.0.0.0,,,2023-08-03 22:23:31,2023-08-03 22:23:32,1.797s,PASSED
"click(findTestObject(""Object Repository/airbnb/Page_Vacation Homes  Condo Rentals - Airbnb_f5c50c/label_3 days""))",Chrome 115.0.0.0,,,2023-08-03 22:23:32,2023-08-03 22:23:35,2.285s,PASSED
"click(findTestObject(""Object Repository/airbnb/Page_Vacation Homes  Condo Rentals - Airbnb_f5c50c/span_Add guests_t1dqvypu dir dir-ltr""))",Chrome 115.0.0.0,,,2023-08-03 22:23:35,2023-08-03 22:23:36,1.826s,PASSED
closeBrowser(),Chrome 115.0.0.0,,,2023-08-03 22:23:36,2023-08-03 22:23:37,0.647s,PASSED
